entrada,fuente,motor_direccion,motor_estado,motor_confianza,motor_advertencias,direccion_esperada,revisado,notas
HATILLO BELLO KM 11+500,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
AUTOPISTA MED BOG KM 14+900,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
calle117#50a-45 piso 1,raw.csv,CL 117 # 50A - 45,OK,1.0,descartado: 'piso 1',CL 117 # 50A - 45,si,
cll78 #32-15 primer piso Manrrique oriental,raw.csv,CL 78 # 32 - 15,OK,1.0,descartado: 'primer piso manrrique oriental',CL 78 # 32 - 15,si,
Carrera 47 #89-97 1-2 y 3 piso,raw.csv,CR 47 # 89 - 97,OK,1.0,descartado: '1-2 y 3 piso',CR 47 # 89 - 97,si,
CL 80 SUR #56 90 TORRE 07 APTO.514,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 80 SUR # 56 - 90,OK,0.97,placa sin guion | descartado: 'torre 07 apto.514',CL 80 SUR # 56 - 90,si,
KM 8 + 500 CINCO REALES,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
carrera 43 b # 107 - 12 andalucia parte alta en el medio de las dos estaciones del metro cable de andalucia y popular primer piso,raw.csv,CR 43B # 107 - 12,OK,1.0,descartado: 'andalucia parte alta en el medio de las dos estaciones del metro cable de andalucia y popular primer piso',CR 43B # 107 - 12,si,
Carrera 49a #89-77 Casa primer piso Aranjuez,raw.csv,CR 49A # 89 - 77,OK,1.0,descartado: 'casa primer piso aranjuez',CR 49A # 89 - 77,si,
Calle 107b #32-26 interior 301 barrio santo domingo sabio,raw.csv,CL 107B # 32 - 26,OK,1.0,descartado: 'interior 301 barrio santo domingo sabio',CL 107B # 32 - 26,si,
CR 57B#82 SUR 21,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 57B # 82 SUR - 21,OK,0.97,placa sin guion,CR 57B # 82 SUR - 21,si,
CL 98 SUR #48 225 BODEGA 106 PUERTA DEL SUR,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 98 SUR # 48 - 225,OK,0.97,placa sin guion | descartado: 'bodega 106 puerta del sur',CL 98 SUR # 48 - 225,si,
carrera 46  #110-61 piso 1,raw.csv,CR 46 # 110 - 61,OK,1.0,descartado: 'piso 1',CR 46 # 110 - 61,si,
HATILLO BELLO KM 9+500,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Calle 81 #52D-160 la Hortensia 2,raw.csv,CL 81 # 52D - 160,OK,1.0,descartado: 'la hortensia 2',CL 81 # 52D - 160,si,
Cl 39BB 117C-15 (153) Apartamento,raw.csv,CL 39BB # 117C - 15,OK,1.0,descartado: 'apartamento' | descartado: '(153)',CL 39BB # 117C - 15,si,
Cll 70 #30-19. Manrique oriental,raw.csv,CL 70 # 30 - 19,OK,1.0,descartado: 'manrique oriental',CL 70 # 30 - 19,si,
"carrera 30 # 68b-15 Manrique oriental 1 piso, reja favor llamar para recibir",raw.csv,CR 30 # 68B - 15,OK,1.0,"descartado: 'manrique oriental 1 piso, reja favor llamar para recibir'",CR 30 # 68B - 15,si,
46a#94-47,raw.csv,,FALLO,0.0,,,si,
KM 7+150 AUTOPISTA MEDELLIN BOGOTA,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Calle 99 #44 b-67 barrio santa cruz Aranjuez bajando por la Graciela hasta el final en un plancito,raw.csv,CL 99 # 44B - 67,OK,1.0,descartado: 'barrio santa cruz aranjuez bajando por la graciela hasta el final en un plancito',CL 99 # 44B - 67,si,
carrera 24 c # 90 a 70 casa,raw.csv,CR 24C # 90A - 70,OK,0.97,placa sin guion | descartado: 'casa',CR 24C # 90A - 70,si,
Carrera 47 #94-49,raw.csv,CR 47 # 94 - 49,OK,1.0,,CR 47 # 94 - 49,si,
Carrera 27b #106bb-07  santo domingo la avanzada la avanzada,raw.csv,CR 27B # 106BB - 07,OK,1.0,descartado: 'santo domingo la avanzada la avanzada',CR 27B # 106BB - 07,si,
CR 62#79 SUR 65,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 62 # 79 SUR - 65,OK,0.97,placa sin guion,CR 62 # 79 SUR - 65,si,
Cl 71 A CR 28 - 05 Manrique oriental Cerca a la iglesia san sebastian,raw.csv,CL 71A # 28 - 05,OK,1.0,descartado: 'manrique oriental cerca a la iglesia san sebastian',CL 71A # 28 - 05,si,
km6+900 curva del diablo,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CL 100#49D 26,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 100 # 49D - 26,OK,0.97,placa sin guion,CL 100 # 49D - 26,si,
CR 48B#99 SUR 59 BODEGA 23 SAN BARTOLOME,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 48B # 99 SUR - 59,OK,0.97,placa sin guion | descartado: 'bodega 23 san bartolome',CR 48B # 99 SUR - 59,si,
Calle calle 102 #47-34 casa primer piso medellin santa cruz,raw.csv,CL 102 # 47 - 34,OK,1.0,descartado: 'casa primer piso medellin santa cruz',CL 102 # 47 - 34,si,
KM 6205KM1+00,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CR 55#87 SUR 146,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 55 # 87 SUR - 146,OK,0.97,placa sin guion,CR 55 # 87 SUR - 146,si,
Calle 123 #51A - 04 Barrio Zamora Tienda de maquillaje BONITA,raw.csv,CL 123 # 51A - 04,OK,1.0,descartado: 'barrio zamora tienda de maquillaje bonita',CL 123 # 51A - 04,si,
calle 79b 30 32 por la tienda  del chorrito,raw.csv,CL 79B # 30 - 32,OK,0.97,placa sin guion | descartado: 'por la tienda del chorrito',CL 79B # 30 - 32,si,
Calle Calle 76 #45-50,raw.csv,CL 76 # 45 - 50,OK,1.0,,CL 76 # 45 - 50,si,
Calle111 #42e21 interior 104 Casa primer piso color naranjada,raw.csv,CL 111 # 42E - 21,OK,0.97,placa sin guion | descartado: 'interior 104 casa primer piso color naranjada',CL 111 # 42E - 21,si,
"CR 46A # 84-65 Apt 301, Antioquia~~~Medellin~~~~~~CR 46A # 84-65 Apt 301",raw.csv,CR 46A # 84 - 65,OK,1.0,descartado: 'apt 301',CR 46A # 84 - 65,si,
CL 76A SUR #56C 31 LOCAL 102,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 76A SUR # 56C - 31,OK,0.97,placa sin guion | descartado: 'local 102',CL 76A SUR # 56C - 31,si,
Carrera 40 #91-015 Casa 1er piso,raw.csv,CR 40 # 91 - 15,OK,1.0,descartado: 'casa 1er piso',CR 40 # 91 - 15,si,
Calle 121#50b-48 203 apartamento,raw.csv,CL 121 # 50B - 48,OK,1.0,descartado: '203 apartamento',CL 121 # 50B - 48,si,
Cra 50b 110-35 Casa primer piso,raw.csv,CR 50B # 110 - 35,OK,1.0,descartado: 'casa primer piso',CR 50B # 110 - 35,si,
CL 80#89 32 INT.301 MEDELLIN,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 80 # 89 - 32,OK,0.97,placa sin guion | descartado: 'int.301 medellin',CL 80 # 89 - 32,si,
Calle Calle 107E # 42C36 apartamento interior 201,raw.csv,CL 107E # 42C - 36,OK,0.97,placa sin guion | descartado: 'apartamento interior 201',CL 107E # 42C - 36,si,
Calle 77aa # 50b 72 Casa,raw.csv,CL 77AA # 50B - 72,OK,0.97,placa sin guion | descartado: 'casa',CL 77AA # 50B - 72,si,
Calle Calle 97 42b-31 Manrique Guadalupe Apartamento interior,raw.csv,CL 97 # 42B - 31,OK,1.0,descartado: 'manrique guadalupe apartamento interior',CL 97 # 42B - 31,si,
